Altium Designer Pick and Place Locations
D:\X200-竟成\X200-竟成\19-07-26 2.4g手柄仿\demo1.1\Project Outputs for demo1\Pick Place for demo1.csv

========================================================================================================================
File Design Information:

Date:       14/09/19
Time:       11:28
Revision:   0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"USB_SLAVE?","USB-B(Mini)","TopLayer","USB/SM0.8-6H5","103.439","98.269","90",""
"K4","摇杆电位计","TopLayer","摇杆电位计","51.432","76.314","180",""
"K2","摇杆电位计","TopLayer","摇杆电位计","125.951","74.828","0",""
"Battery1","BAT","TopLayer","BAT","74.500","101.092","180","Header, 2-Pin"
"C1","10uF","TopLayer","0603_C","94.107","89.637","180","贴片电容"
"C2","10uF","TopLayer","0603_C","99.670","89.637","180","贴片电容"
"C3","10uF","TopLayer","0603_C","82.245","88.544","90","贴片电容"
"C4","10uF","TopLayer","0603_C","78.232","87.224","0","贴片电容"
"C5","20pF","TopLayer","0603_C","107.290","77.826","270","贴片电容"
"C6","20pF","TopLayer","0603_C","107.264","81.389","90","贴片电容"
"C7","100nF","TopLayer","0603_C","58.166","94.640","270","贴片电容"
"C8","100nF","TopLayer","0603_C","95.515","81.136","270","贴片电容"
"C9","22uF","TopLayer","0603_C","85.141","102.794","0","贴片电容"
"C10","100nF","TopLayer","0603_C","82.249","77.766","90","贴片电容"
"C11","100nF","TopLayer","0603_C","91.313","73.914","180","贴片电容"
"C12","100nF","TopLayer","0603_C","98.044","81.116","270","贴片电容"
"C13","100nF","TopLayer","0603_C","93.980","102.819","0","贴片电容"
"C14","100nF","TopLayer","0603_C","96.241","77.851","0","贴片电容"
"C15","1uF","TopLayer","0603_C","85.268","86.811","180","贴片电容"
"D1","P923D","TopLayer","RGB_LED_5050","64.389","101.270","0",""
"D2","红灯","TopLayer","0603_LED_S1","120.294","94.729","180","发光二极管"
"D3","蓝灯","TopLayer","0603_LED_S1","113.970","94.729","180","发光二极管"
"K1","BUTTON","TopLayer","BTN8.5*8.5","74.897","93.345","360",""
"K3","KEY_M","TopLayer","KEY_M","71.458","61.341","0",""
"K5","KEY_M","TopLayer","KEY_M","108.085","61.341","0",""
"L1","10uH ±10%","TopLayer","0603_L","72.433","87.224","0","贴片电感"
"P1","SWD","TopLayer","HDR1X5","89.865","65.380","180","Header, 5-Pin"
"P2","OLED","TopLayer","HDR1X4","89.230","99.492","180","Header, 4-Pin"
"P3","USART","TopLayer","HDR1X4","132.049","96.631","135","Header, 4-Pin"
"P4","USART","TopLayer","HDR1X4","46.811","96.620","45","Header, 4-Pin"
"P5","Header 10","TopLayer","HDR1X10","89.700","69.571","180","Header, 10-Pin"
"P6","NRF24L01","TopLayer","HDR2X4","89.230","107.518","360","Header, 4-Pin, Dual row"
"P7","Header 3","TopLayer","HDR1X3","73.838","78.816","90","Header, 3-Pin"
"R1","22Ω","TopLayer","0603_R","103.048","90.229","270","贴片电阻"
"R2","470Ω","TopLayer","0603_R","120.269","98.501","0","贴片电阻"
"R3","470Ω","TopLayer","0603_R","114.071","98.501","0","贴片电阻"
"R4","22Ω","TopLayer","0603_R","108.356","90.229","270","贴片电阻"
"R5","1.5KΩ","TopLayer","0603_R","105.702","90.229","270","贴片电阻"
"R6","10KΩ","TopLayer","0603_R","77.724","62.789","90","贴片电阻"
"R7","10KΩ","TopLayer","0603_R","120.650","56.744","360","贴片电阻"
"R8","10KΩ","TopLayer","0603_R","69.291","84.201","0","贴片电阻"
"R9","10KΩ","TopLayer","0603_R","101.270","62.789","90","贴片电阻"
"R10","10KΩ","TopLayer","0603_R","56.871","56.744","0","贴片电阻"
"R11","10KΩ","TopLayer","0603_R","78.156","81.712","90","贴片电阻"
"R12","10KΩ","TopLayer","0603_R","78.156","76.116","90","贴片电阻"
"RESET","KEY_M","TopLayer","KEY_M","65.000","93.701","0",""
"U1","STM32F103C8T6","TopLayer","LQFP48_N","88.824","80.366","180","STM32 ARM-based 32-bit MCU with 64 Kbytes Flash, 48-pin LQFP, Industrial Temperature"
"VR1","HT7533-1","TopLayer","SOT-89(SOT-89-3)","94.392","93.472","360","低压差线性稳压(LDO)"
"VR2","HT7550-1","TopLayer","SOT-89(SOT-89-3)","83.499","93.472","180","低压差线性稳压(LDO)"
"Y1","8MHz ±20ppm 20pF","TopLayer","SMD-5032_2P","104.115","79.553","270","贴片晶振"
